!	Robot Arm Test Set						
!@	torque	theta	omega	x1(t+1)	x2(t+1)	theta(t+1)	omega(t+1)
	1	0	0	1.99998888889918	0.00666665432099451	0.00333333333333333	0.0666666666666667
	1	0.00333333333333333	0.0666666666666667	1.99982222485595	0.0266658765502332	0.0133333333333333	0.133333333333333
	1	0.0133333333333333	0.133333333333333	1.99910006749798	0.0599910004049913	0.03	0.2
	1	0.03	0.2	1.99715622973031	0.106616105956824	0.0533333333333333	0.266666666666667
	1	0.0533333333333333	0.266666666666667	1.99305957340112	0.166473832400621	0.0833333333333333	0.333333333333333
	1	0.0833333333333333	0.333333333333333	1.98561727170773	0.239424414577839	0.12	0.4
	1	0.12	0.4	1.97338147815884	0.325216146062355	0.163333333333333	0.466666666666667
	1	0.163333333333333	0.466666666666667	1.95466123235613	0.423437677496946	0.213333333333333	0.533333333333333
	1	0.213333333333333	0.533333333333333	1.92754179273178	0.533462873377662	0.27	0.6
	1	0.27	0.6	1.88991389262948	0.654389393592304	0.333333333333333	0.666666666666667
	1	0.333333333333333	0.666666666666667	1.83951563652978	0.784972753006406	0.403333333333333	0.733333333333333
	2	0	0	1.99995555572016	0.0133332345681207	0.00666666666666667	0.133333333333333
	2	0.00666666666666667	0.133333333333333	1.99928893102781	0.0533270125704214	0.0266666666666667	0.266666666666667
	2	0.0266666666666667	0.266666666666667	1.99640107987041	0.119928012958889	0.06	0.4
	2	0.06	0.4	1.9886330059506	0.212929020201259	0.106666666666667	0.533333333333333
	2	0.106666666666667	0.533333333333333	1.97228646312585	0.33179226538683	0.166666666666667	0.666666666666667
	2	0.166666666666667	0.666666666666667	1.94267594970406	0.475405252854269	0.24	0.8
	2	0.24	0.8	1.89423445834035	0.64177551903765	0.326666666666667	0.933333333333333
	2	0.326666666666667	0.933333333333333	1.82070053327599	0.8276772125222	0.426666666666667	1.06666666666667
	2	0.426666666666667	1.06666666666667	1.71541736272765	1.02827198330623	0.54	1.2
	2	0.54	1.2	1.5717745215539	1.23673960613947	0.666666666666667	1.33333333333333
	2	0.666666666666667	1.33333333333333	1.38381777703754	1.44396965340511	0.806666666666667	1.46666666666667
	3	0	0	1.99990000083333	0.0199996666683333	0.01	0.2
	3	0.01	0.2	1.99840021332196	0.0799786683732683	0.04	0.4
	3	0.04	0.4	1.99190546602399	0.179757098396022	0.09	0.6
	3	0.09	0.6	1.97445456675125	0.318636413228492	0.16	0.8
	3	0.16	0.8	1.93782484342129	0.494807918509046	0.25	1
	3	0.25	1	1.87179364735587	0.70454846655018	0.36	1.2
	3	0.36	1.2	1.76466571722024	0.941251776342316	0.49	1.4
	3	0.49	1.4	1.60419151576859	1.19439088272478	0.64	1.6
	3	0.64	1.6	1.37899686590349	1.44857434874029	0.81	1.8
	3	0.81	1.8	1.08060461173628	1.68294196961579	1	2
	3	1	2	0.70603880243866	1.87123200310677	1.21	2.2
	4	0	0	1.99982222485595	0.0266658765502332	0.0133333333333333	0.266666666666667
	4	0.0133333333333333	0.266666666666667	1.99715622973031	0.106616105956824	0.0533333333333333	0.533333333333333
	4	0.0533333333333333	0.533333333333333	1.98561727170773	0.239424414577839	0.12	0.8
	4	0.12	0.8	1.95466123235613	0.423437677496946	0.213333333333333	1.06666666666667
	4	0.213333333333333	1.06666666666667	1.88991389262948	0.654389393592304	0.333333333333333	1.33333333333333
	4	0.333333333333333	1.33333333333333	1.77398984555857	0.923558351082966	0.48	1.6
	4	0.48	1.6	1.58812418316396	1.21567330268038	0.653333333333333	1.86666666666667
	4	0.653333333333333	1.86666666666667	1.31495043187148	1.50695234221956	0.853333333333334	2.13333333333333
	4	0.853333333333334	2.13333333333333	0.94265672834748	1.7639156137699	1.08	2.4
	4	1.08	2.4	0.470475146605979	1.94387580272663	1.33333333333333	2.66666666666667
	4	1.33333333333333	2.66666666666667	-0.0850483599548711	1.99819087588473	1.61333333333333	2.93333333333333
