Time,Extension,Load,Strain Gage18
(s),(mm),(N),(mm/mm)
"0.00000","0.00000","-0.03864","0.00000"
"0.50000","0.08980","0.11512","0.00000"
"1.00000","0.18992","0.01059","0.00000"
"1.50000","0.28974","-0.02080","0.00000"
"2.00000","0.38987","0.05097","0.00000"
"2.50000","0.48988","0.06174","0.00000"
"3.00000","0.58976","-0.04925","0.00000"
"3.50000","0.68983","0.14543","0.00000"
"4.00000","0.78990","0.02690","0.00000"
"4.50000","0.88973","0.08853","0.00000"
"5.00000","0.98992","0.12359","0.00001"
"5.50000","1.08983","0.02473","0.00001"
"6.00000","1.18973","0.26074","0.00001"
"6.50000","1.28995","0.06101","0.00001"
"7.00000","1.38984","0.13074","0.00001"
"7.50000","1.48970","0.13623","0.00001"
"8.00000","1.58992","0.09549","0.00001"
"8.50000","1.68982","0.10017","0.00001"
"9.00000","1.78974","0.17752","0.00001"
"9.50000","1.88992","0.29859","0.00001"
"10.00000","1.98981","0.23113","0.00001"
"10.50000","2.08970","0.23121","0.00002"
"11.00000","2.18993","0.32116","0.00002"
"11.50000","2.28980","0.33155","0.00002"
"12.00000","2.38974","0.30759","0.00002"
"12.50000","2.48997","0.38528","0.00002"
"13.00000","2.58979","0.31902","0.00002"
"13.50000","2.68977","0.28242","0.00002"
"14.00000","2.78997","0.31884","0.00002"
"14.50000","2.88976","0.30326","0.00002"
"15.00000","2.98980","0.50750","0.00002"
"15.50000","3.08997","0.40953","0.00002"
"16.00000","3.18975","0.43389","0.00003"
"16.50000","3.28979","0.51538","0.00003"
"17.00000","3.38997","0.35924","0.00003"
"17.50000","3.48975","0.37836","0.00003"
"18.00000","3.58978","0.51147","0.00003"
"18.50000","3.68999","0.63278","0.00003"
"19.00000","3.78975","0.55535","0.00003"
"19.50000","3.88981","0.50698","0.00003"
"20.00000","3.98997","0.57120","0.00003"
"20.50000","4.08975","0.56889","0.00003"
"21.00000","4.18983","0.71666","0.00003"
"21.50000","4.28993","0.56686","0.00004"
"22.00000","4.38976","0.60612","0.00004"
"22.50000","4.48984","0.63236","0.00004"
"23.00000","4.58991","0.73291","0.00004"
"23.50000","4.68968","0.60264","0.00004"
"24.00000","4.78985","0.64941","0.00004"
"24.50000","4.88993","0.71528","0.00004"
"25.00000","4.98974","0.73164","0.00004"
"25.50000","5.08985","0.72514","0.00004"
"26.00000","5.18990","0.73686","0.00004"
"26.50000","5.28972","0.82593","0.00004"
"27.00000","5.38987","0.71906","0.00005"
"27.50000","5.48987","0.77515","0.00005"
"28.00000","5.58973","0.96512","0.00005"
"28.50000","5.68989","0.79746","0.00005"
"29.00000","5.78988","0.78593","0.00005"
"29.50000","5.88972","0.76487","0.00005"
"30.00000","5.98990","0.80045","0.00005"
"30.50000","6.08980","0.88311","0.00005"
"31.00000","6.18975","0.85861","0.00005"
"31.50000","6.28985","1.00572","0.00005"
"32.00000","6.38983","0.89424","0.00005"
"32.50000","6.48973","0.83964","0.00006"
"33.00000","6.58996","1.04218","0.00006"
"33.50000","6.68978","1.18708","0.00006"
"34.00000","6.78978","1.08120","0.00006"
"34.50000","6.88994","1.03825","0.00006"
"35.00000","6.98979","0.98862","0.00006"
"35.50000","7.08978","1.21874","0.00006"
"36.00000","7.18997","1.04344","0.00006"
"36.50000","7.28977","1.10902","0.00006"
"37.00000","7.38975","1.07942","0.00006"
"37.50000","7.48993","1.11407","0.00006"
"38.00000","7.58978","1.15608","0.00007"
"38.50000","7.68974","1.21830","0.00007"
"39.00000","7.79002","1.11179","0.00007"
"39.50000","7.88973","1.17866","0.00007"
"40.00000","7.98982","1.29097","0.00007"
"40.50000","8.08996","1.19692","0.00007"
"41.00000","8.18975","1.17657","0.00007"
"41.50000","8.28979","1.31549","0.00007"
"42.00000","8.38995","1.35645","0.00007"
"42.50000","8.48975","1.31872","0.00007"
"43.00000","8.58984","1.31606","0.00007"
"43.50000","8.68995","1.31678","0.00008"
"44.00000","8.78975","1.39700","0.00008"
"44.50000","8.88981","1.42341","0.00008"
"45.00000","8.98996","1.30069","0.00008"
"45.50000","9.08974","1.48832","0.00008"
"46.00000","9.18988","1.28621","0.00008"
"46.50000","9.28989","1.44465","0.00008"
"47.00000","9.38977","1.44805","0.00008"
"47.50000","9.48980","1.47704","0.00008"
"48.00000","9.58992","1.42140","0.00008"
"48.50000","9.68973","1.47614","0.00008"
"49.00000","9.78989","1.42173","0.00009"
"49.50000","9.88985","1.51481","0.00009"
"50.00000","9.98975","1.59004","0.00009"
"50.50000","10.08987","1.63401","0.00009"
"51.00000","10.18987","1.56549","0.00009"
"51.50000","10.28971","1.59730","0.00009"
"52.00000","10.38990","1.63170","0.00009"
"52.50000","10.48981","1.67404","0.00009"
"53.00000","10.58973","1.69264","0.00009"
"53.50000","10.68995","1.57484","0.00009"
"54.00000","10.78983","1.61528","0.00009"
"54.50000","10.88975","1.77859","0.00010"
"55.00000","10.98998","1.77802","0.00010"
"55.50000","11.08978","1.73441","0.00010"
"56.00000","11.18979","1.74501","0.00010"
"56.50000","11.28994","1.79209","0.00010"
"57.00000","11.38982","1.76023","0.00010"
"57.50000","11.48973","1.82287","0.00010"
"58.00000","11.58995","1.81977","0.00010"
"58.50000","11.68977","1.91790","0.00010"
"59.00000","11.78974","1.84466","0.00010"
"59.50000","11.88997","1.83644","0.00010"
"60.00000","11.98978","1.84669","0.00011"
"60.50000","12.08979","1.90022","0.00011"
"61.00000","12.18996","1.92319","0.00011"
"61.50000","12.28977","1.82831","0.00011"
"62.00000","12.38983","1.86487","0.00011"
"62.50000","12.49000","1.87645","0.00011"
"63.00000","12.58974","1.94810","0.00011"
"63.50000","12.68980","1.95658","0.00011"
"64.00000","12.78998","1.91026","0.00011"
"64.50000","12.88974","2.05139","0.00011"
"65.00000","12.98981","2.03001","0.00011"
"65.50000","13.08999","2.05153","0.00012"
"66.00000","13.18974","2.08366","0.00012"
"66.50000","13.28984","2.09663","0.00012"
"67.00000","13.38994","2.21179","0.00012"
"67.50000","13.48977","2.13890","0.00012"
"68.00000","13.58982","2.09710","0.00012"
"68.50000","13.68992","2.25795","0.00012"
"69.00000","13.78976","2.11152","0.00012"
"69.50000","13.88987","2.25638","0.00012"
