Time,Extension,Load,Strain Gage18
(s),(mm),(N),(mm/mm)
"0.00000","0.00000","125.92448","-0.00018"
"0.10000","0.00326","161.47305","-0.00016"
"0.20000","0.01411","283.22876","-0.00010"
"0.30000","0.02435","396.42789","-0.00005"
"0.40000","0.03457","507.34518","0.00001"
"0.50000","0.04464","616.34399","0.00007"
"0.60000","0.05474","727.00275","0.00013"
"0.70000","0.06473","837.27014","0.00019"
"0.80000","0.07452","945.07159","0.00025"
"0.90000","0.08441","1055.17944","0.00031"
"1.00000","0.09452","1166.35498","0.00036"
"1.10000","0.10451","1274.88916","0.00042"
"1.20000","0.11471","1383.68555","0.00048"
"1.30000","0.12469","1488.80603","0.00053"
"1.40000","0.13458","1592.53186","0.00059"
"1.50000","0.14450","1696.25073","0.00064"
"1.60000","0.15452","1800.39587","0.00070"
"1.70000","0.16451","1903.11523","0.00075"
"1.80000","0.17460","2006.59729","0.00081"
"1.90000","0.18465","2108.75220","0.00086"
"2.00000","0.19456","2209.23682","0.00091"
"2.10000","0.20456","2309.72168","0.00096"
"2.20000","0.21460","2410.38989","0.00102"
"2.30000","0.22458","2509.64209","0.00107"
"2.40000","0.23464","2609.38525","0.00112"
"2.50000","0.24463","2707.91284","0.00117"
"2.60000","0.25446","2804.15405","0.00122"
"2.70000","0.26445","2901.95703","0.00128"
"2.80000","0.27463","3001.83350","0.00133"
"2.90000","0.28464","3099.56177","0.00138"
"3.00000","0.29474","3197.52661","0.00143"
"3.10000","0.30466","3293.13721","0.00148"
"3.20000","0.31455","3387.91577","0.00153"
"3.30000","0.32442","3482.80078","0.00158"
"3.40000","0.33452","3579.63599","0.00163"
"3.50000","0.34458","3675.46118","0.00168"
"3.60000","0.35477","3772.89233","0.00173"
"3.70000","0.36476","3867.50000","0.00178"
"3.80000","0.37454","3959.60425","0.00183"
"3.90000","0.38452","4053.37988","0.00188"
"4.00000","0.39453","4147.51855","0.00194"
"4.10000","0.40457","4241.05273","0.00199"
"4.20000","0.41462","4335.04102","0.00204"
"4.30000","0.42471","4429.06787","0.00209"
"4.40000","0.43460","4520.45410","0.00214"
"4.50000","0.44457","4612.70068","0.00219"
"4.60000","0.45460","4705.33057","0.00224"
"4.70000","0.46455","4796.46338","0.00230"
"4.80000","0.47462","4888.59033","0.00235"
"4.90000","0.48465","4979.96484","0.00240"
"5.00000","0.49453","5069.28516","0.00245"
"5.10000","0.50451","5159.74854","0.00251"
"5.20000","0.51466","5251.85449","0.00256"
"5.30000","0.52463","5341.09033","0.00262"
"5.40000","0.53469","5431.28564","0.00267"
"5.50000","0.54468","5520.27393","0.00273"
"5.60000","0.55452","5607.44775","0.00279"
"5.70000","0.56446","5695.56299","0.00285"
"5.80000","0.57453","5784.85840","0.00291"
"5.90000","0.58464","5873.64746","0.00297"
"6.00000","0.59474","5961.99561","0.00303"
"6.10000","0.60473","6048.62207","0.00309"
"6.20000","0.61453","6132.90430","0.00316"
"6.30000","0.62454","6219.16650","0.00322"
"6.40000","0.63454","6304.67383","0.00329"
"6.50000","0.64454","6389.93018","0.00336"
"6.60000","0.65464","6475.28467","0.00343"
"6.70000","0.66472","6560.38281","0.00350"
"6.80000","0.67467","6644.12402","0.00358"
"6.90000","0.68458","6727.28662","0.00366"
"7.00000","0.69455","6810.45898","0.00374"
"7.10000","0.70455","6893.04541","0.00382"
"7.20000","0.71462","6975.95850","0.00391"
"7.30000","0.72467","7058.46045","0.00400"
"7.40000","0.73457","7138.78516","0.00410"
"7.50000","0.74457","7219.31836","0.00420"
"7.60000","0.75464","7300.17041","0.00430"
"7.70000","0.76464","7378.56836","0.00440"
"7.80000","0.77460","7456.01709","0.00451"
"7.90000","0.78463","7532.71729","0.00463"
"8.00000","0.79455","7605.00488","0.00474"
"8.10000","0.80451","7675.93213","0.00486"
"8.20000","0.81459","7747.85596","0.00498"
"8.30000","0.82465","7818.60596","0.00511"
