Time,Extension,Load,Strain Gage18
(s),(mm),(N),(mm/mm)
"0.00000","0.00000","-0.02560","0.00000"
"0.00100","0.00000","-0.03190","0.00000"
"0.00200","0.00000","-0.03887","0.00000"
"0.00300","0.00000","-0.04651","0.00000"
"0.00400","0.00000","-0.05435","0.00000"
"0.00500","0.00000","-0.06180","0.00000"
"0.00600","0.00000","-0.06837","0.00000"
"0.00700","0.00000","-0.07372","0.00000"
"0.00800","0.00000","-0.07796","0.00000"
"0.00900","0.00000","-0.08152","0.00000"
"0.01000","0.00000","-0.08467","0.00000"
"0.01100","0.00000","-0.08730","0.00000"
"0.01200","0.00000","-0.08921","0.00000"
"0.01300","0.00000","-0.09054","0.00000"
"0.01400","0.00000","-0.09132","0.00000"
"0.01500","0.00000","-0.09111","0.00000"
"0.01600","0.00000","-0.08968","0.00000"
"0.01700","0.00000","-0.08740","0.00000"
"0.01800","0.00000","-0.08506","0.00000"
"0.01900","0.00000","-0.08326","0.00000"
"0.02000","0.00001","-0.08223","0.00000"
"0.02100","0.00001","-0.08194","0.00000"
"0.02200","0.00001","-0.08217","0.00000"
"0.02300","0.00001","-0.08289","0.00000"
"0.02400","0.00002","-0.08435","-0.00001"
"0.02500","0.00002","-0.08670","-0.00001"
"0.02600","0.00003","-0.08954","-0.00001"
"0.02700","0.00003","-0.09239","-0.00001"
"0.02800","0.00004","-0.09475","-0.00001"
"0.02900","0.00004","-0.09587","-0.00001"
"0.03000","0.00005","-0.09497","-0.00001"
"0.03100","0.00005","-0.09180","-0.00001"
"0.03200","0.00006","-0.08658","-0.00001"
"0.03300","0.00007","-0.07982","-0.00001"
"0.03400","0.00008","-0.07225","-0.00001"
"0.03500","0.00009","-0.06464","-0.00001"
"0.03600","0.00010","-0.05754","-0.00001"
"0.03700","0.00011","-0.05134","-0.00001"
"0.03800","0.00012","-0.04613","-0.00001"
"0.03900","0.00014","-0.04190","-0.00001"
"0.04000","0.00015","-0.03867","-0.00001"
"0.04100","0.00017","-0.03620","-0.00001"
"0.04200","0.00018","-0.03402","-0.00001"
