Time,Extension,Load,Strain Gage18
(s),(mm),(N),(mm/mm)
"0.00000","0.00000","-0.06584","0.00000"
"0.50000","0.09014","-0.01214","0.00000"
"1.00000","0.18990","-0.02071","0.00000"
"1.50000","0.28994","0.02369","0.00000"
"2.00000","0.39012","0.01042","0.00000"
"2.50000","0.48992","0.08881","-0.00001"
"3.00000","0.58995","0.11361","-0.00001"
"3.50000","0.69012","0.23968","-0.00001"
"4.00000","0.78990","0.18342","-0.00001"
"4.50000","0.89001","0.20331","-0.00002"
"5.00000","0.99010","0.29927","-0.00002"
"5.50000","1.08990","0.49515","-0.00002"
"6.00000","1.19000","0.36510","-0.00002"
"6.50000","1.29012","0.39857","-0.00003"
"7.00000","1.38991","0.50952","-0.00003"
"7.50000","1.49003","0.57444","-0.00003"
"8.00000","1.59009","0.69567","-0.00003"
"8.50000","1.68991","0.68907","-0.00004"
"9.00000","1.78999","0.68798","-0.00004"
"9.50000","1.89005","0.76653","-0.00004"
"10.00000","1.98991","0.75755","-0.00004"
"10.50000","2.09005","0.74145","-0.00005"
"11.00000","2.19005","0.81453","-0.00005"
"11.50000","2.28993","0.84535","-0.00005"
"12.00000","2.39004","0.87477","-0.00005"
"12.50000","2.49006","0.97293","-0.00006"
"13.00000","2.58990","1.04165","-0.00006"
"13.50000","2.69009","1.05843","-0.00006"
"14.00000","2.78998","1.10601","-0.00006"
"14.50000","2.88991","1.10096","-0.00007"
"15.00000","2.99012","1.14436","-0.00007"
"15.50000","3.08996","1.25475","-0.00007"
"16.00000","3.18989","1.19680","-0.00007"
"16.50000","3.29015","1.22326","-0.00008"
"17.00000","3.38993","1.23186","-0.00008"
"17.50000","3.48995","1.41055","-0.00008"
"18.00000","3.59011","1.43860","-0.00008"
"18.50000","3.68989","1.33416","-0.00009"
"19.00000","3.78989","1.45952","-0.00009"
"19.50000","3.89017","1.56669","-0.00009"
"20.00000","3.98994","1.41673","-0.00010"
"20.50000","4.08991","1.62480","-0.00010"
"21.00000","4.19015","1.62820","-0.00010"
"21.50000","4.28995","1.73515","-0.00010"
"22.00000","4.38993","1.67642","-0.00011"
"22.50000","4.49011","1.77994","-0.00011"
"23.00000","4.58993","1.83385","-0.00011"
"23.50000","4.68996","1.82131","-0.00011"
"24.00000","4.79013","1.95636","-0.00012"
"24.50000","4.88990","1.90028","-0.00012"
"25.00000","4.98997","2.07788","-0.00012"
"25.50000","5.09015","1.99223","-0.00012"
"26.00000","5.18990","2.02270","-0.00013"
"26.50000","5.28997","2.10774","-0.00013"
"27.00000","5.39015","2.16539","-0.00013"
"27.50000","5.48992","2.21629","-0.00013"
"28.00000","5.59001","2.37677","-0.00014"
"28.50000","5.69009","2.37572","-0.00014"
"29.00000","5.78993","2.41998","-0.00014"
"29.50000","5.88998","2.48214","-0.00014"
"30.00000","5.99007","2.58230","-0.00015"
"30.50000","6.08991","2.53625","-0.00015"
"31.00000","6.19005","2.59312","-0.00015"
"31.50000","6.29005","2.68272","-0.00016"
"32.00000","6.38992","2.77169","-0.00016"
"32.50000","6.49002","2.74571","-0.00016"
"33.00000","6.59005","2.71220","-0.00016"
"33.50000","6.68991","2.92584","-0.00017"
"34.00000","6.79007","2.84477","-0.00017"
"34.50000","6.89001","3.00056","-0.00017"
"35.00000","6.98991","3.10966","-0.00017"
"35.50000","7.09009","3.15329","-0.00018"
"36.00000","7.18994","3.08117","-0.00018"
"36.50000","7.28990","3.26262","-0.00018"
"37.00000","7.39010","3.19027","-0.00018"
"37.50000","7.48998","3.18923","-0.00019"
"38.00000","7.58989","3.18587","-0.00019"
"38.50000","7.69013","3.22393","-0.00019"
"39.00000","7.78995","3.40722","-0.00019"
"39.50000","7.88990","3.33072","-0.00020"
"40.00000","7.99010","3.38519","-0.00020"
"40.50000","8.08994","3.42733","-0.00020"
