a,i,T,P,F,Masking Angle,COVaverage,COVstd,dv max [m/s/day] ,dv avg [m/s/day],dv min [m/s/day]
3500,55,69,3,2,20,1.7936,0.293197894,1.082036096,0.90307798,0.702898048
3500,55,60,4,2,20,1.5528,0.252816289,0.752653241,0.675909597,0.533729736
3500,55,66,6,2,20,1.7116,0.239003269,1.095495925,0.92014166,0.696140766
3500,55,72,8,2,20,1.8642,0.208906683,1.260759085,0.90268754,0.517278845
3500,55,70,10,2,20,1.8138,0.21235502,1.24483482,0.920418783,0.689254256
3500,55,72,12,2,20,1.8624,0.249977456,1.200209768,0.915001058,0.532856467
3500,55,70,14,2,20,1.8126,0.232756129,1.199787094,0.91382865,0.663464904
3500,55,80,16,2,20,2.0728,0.256994565,1.252912506,0.913962735,0.552229775
4000,55,51,3,2,20,1.5498,0.177627451,1.300444453,1.080013004,0.821125259
4000,55,52,4,2,20,1.5842,0.222890197,0.83935385,0.755546163,0.59207854
4000,55,54,6,2,20,1.6402,0.193031659,1.29110904,1.080272937,0.72761394
4000,55,56,8,2,20,1.7032,0.231955952,1.455242646,1.057981705,0.654158196
4000,55,50,10,2,20,1.521,0.204550338,1.400753898,1.063452342,0.847400135
4000,55,60,12,2,20,1.8238,0.221274767,1.378396976,1.052762676,0.68344652
4000,55,70,14,2,20,2.1268,0.222646202,1.347287385,1.056930417,0.810066571
4000,55,64,16,2,20,1.945,0.204785099,1.355182244,1.059752792,0.680295415
4500,55,39,3,2,20,1.327,0.157530365,1.460277482,1.19912209,0.952847366
4500,55,48,4,2,20,1.634,0.207477823,0.993761493,0.892383615,0.663449843
4500,55,48,6,2,20,1.638,0.172353433,1.471541006,1.227028112,0.904688847
4500,55,56,8,2,20,1.9046,0.213411303,1.685215564,1.19371726,0.674105518
4500,55,50,10,2,20,1.7026,0.218634492,1.665962685,1.209969175,0.899189087
4500,55,60,12,2,20,2.045,0.225712086,1.620868244,1.208007923,0.745590219
4500,55,56,14,2,20,1.9104,0.210371329,1.51755838,1.195498321,0.91609077
4500,55,48,16,2,20,1.634,0.20160517,1.660029782,1.201805731,0.745467872
5000,55,36,3,2,20,1.329,0.159701298,1.675850216,1.373013426,1.09103482
5000,55,44,4,2,20,1.6264,0.198550906,1.106184018,0.991993017,0.712535912
5000,55,48,6,2,20,1.779,0.193381479,1.6655015,1.390443051,0.978671712
5000,55,48,8,2,20,1.7782,0.202597645,1.88375482,1.348110062,0.821471511
5000,55,40,10,2,20,1.479,0.184805717,1.726333075,1.34813119,1.13106975
5000,55,48,12,2,20,1.7798,0.196953677,1.721937984,1.34424596,0.879372494
5000,55,42,14,2,20,1.553,0.207349931,1.787892006,1.362064796,0.938379126
5000,55,48,16,2,20,1.7774,0.215535834,1.901748881,1.359774434,0.83338626
5500,55,33,3,2,20,1.3024,0.162297814,1.74439108,1.513558356,1.115431248
5500,55,44,4,2,20,1.7376,0.194895419,1.142975636,1.025587876,0.872045717
5500,55,42,6,2,20,1.6574,0.163131394,1.789640407,1.524674596,1.166872353
5500,55,40,8,2,20,1.5818,0.166061243,1.857022093,1.45484524,0.969012287
5500,55,40,10,2,20,1.576,0.212483291,2.027372218,1.50082198,1.175337748
5500,55,48,12,2,20,1.8948,0.208077525,2.008000157,1.491656287,0.981213729
5500,55,42,14,2,20,1.6538,0.211637309,2.062996174,1.498226752,1.04135082
5500,55,48,16,2,20,1.8956,0.228457508,2.118829781,1.497801258,0.818083017
