SemiMajor Axis,Inclination,Number of Sats,Planes,Spacing Factor,COV Wertz,COV Wertz w/ 35 degree elevation angle,COV from propagation,DeltaV/day [km/s^2/day],Inc Maintenance,RAAN Maintenance,a and ecc Maintenance
2500,55,48,3,2,1.464192,0.298136393,1.4658,0.000945409,0.000487905,0.000442311,0.000015193
2500,55,52,4,2,1.586208,0.322981092,1.5892,0.00053069,0.000065052,0.000444164,0.000021473
2500,55,60,5,2,1.83024,0.372670491,1.8318,0.000970989,0.000511659,0.000442421,0.000016909
2500,55,54,6,2,1.647216,0.335403442,1.646,0.000958761,0.000498243,0.000443779,0.000016739
2500,55,63,7,2,1.921752,0.391304015,1.9206,0.000966887,0.000511147,0.000442375,0.000013365
2500,55,56,8,2,1.708224,0.347825791,1.7076,0.000893423,0.000433563,0.000444428,0.000015433
2500,55,54,9,2,1.647216,0.335403442,1.6472,0.000974564,0.000513257,0.000443664,0.000017643
2500,55,50,10,2,1.5252,0.310558742,1.5238,0.000969396,0.000507001,0.000445757,0.000016638
3500,55,42,2,2,2.11512,0.6001568,2.1146,0.000245323,0.00017941,0.000001731,0.000064182
3500,55,30,3,2,1.5108,0.428683428,1.5156,0.001343173,0.000701617,0.000613606,0.00002795
3500,55,28,4,2,1.41008,0.400104533,1.408,0.000778815,0.000127751,0.000620181,0.000030883
3500,55,30,5,2,1.5108,0.428683428,1.51,0.001390738,0.000735765,0.000617875,0.000037098
3500,55,36,6,2,1.81296,0.514420114,1.808,0.001364444,0.000718609,0.00062262,0.000023214
3500,55,35,7,2,1.7626,0.500130667,1.7624,0.00136736,0.000720119,0.000620317,0.000026924
3500,55,40,8,2,2.0144,0.571577905,2.0154,0.001281735,0.000627364,0.000623777,0.000030595
3500,55,36,9,2,1.81296,0.514420114,1.8128,0.00136898,0.000722459,0.000621149,0.000025373
3500,55,30,10,2,1.5108,0.428683428,1.5098,0.001378244,0.000724073,0.000624151,0.000030021
4500,55,30,2,2,1.841733333,0.590385891,1.8446,0.000358665,0.000206245,0.000004756,0.000147664
4500,55,27,3,2,1.65756,0.531347302,1.658,0.001738444,0.000890134,0.000765673,0.000082638
4500,55,24,4,2,1.473386667,0.472308713,1.472,0.00100521,0.000157877,0.000792296,0.000055036
4500,55,30,5,2,1.841733333,0.590385891,1.844,0.001831976,0.000952938,0.000789536,0.000089502
4500,55,30,6,2,1.841733333,0.590385891,1.8428,0.00177247,0.000902787,0.000801175,0.000068508
4500,55,28,7,2,1.718951111,0.551026832,1.7208,0.001766894,0.00090778,0.000797178,0.000061936
4500,55,24,8,2,1.473386667,0.472308713,1.4748,0.001653374,0.000785772,0.000802629,0.000064973
4500,55,27,9,2,1.65756,0.531347302,1.6562,0.00178514,0.000918559,0.000799515,0.000067065
4500,55,30,10,2,1.841733333,0.590385891,1.8432,0.001791522,0.000920785,0.000802154,0.000068583
5500,55,28,2,2,1.915505455,0.65518058,1.9128,0.000873348,0.000766916,0.000005926,0.000100505
5500,55,24,3,2,1.641861818,0.561583354,1.6366,0.002282136,0.001242789,0.000919796,0.000119551
5500,55,24,4,2,1.641861818,0.561583354,1.6424,0.001553357,0.000469254,0.000975626,0.000108478
5500,55,25,5,2,1.710272727,0.58498266,1.71,0.002294159,0.00123753,0.000975167,0.000081462
5500,55,24,6,2,1.641861818,0.561583354,1.6448,0.002276611,0.001175173,0.000982279,0.000119159
5500,55,21,7,2,1.436629091,0.491385435,1.434,0.00234186,0.00122115,0.000975533,0.000145177
5500,55,24,8,2,1.641861818,0.561583354,1.6426,0.00221348,0.001118155,0.000984183,0.000111141
5500,55,27,9,2,1.847094545,0.631781273,1.8492,0.002293607,0.001221115,0.000977901,0.000094591
5500,55,30,10,2,2.052327273,0.701979192,2.0514,0.002327442,0.001246232,0.000984233,0.000096977
6500,55,26,2,2,1.90504,0.678561877,1.9054,0.000715929,0.000504252,0.000012854,0.000198823
6500,55,24,3,2,1.758498462,0.626364809,1.7582,0.002683656,0.001415291,0.001053018,0.000215346
6500,55,20,4,2,1.465415385,0.521970675,1.4668,0.001706998,0.000353786,0.001162788,0.000190425
6500,55,25,5,2,1.831769231,0.652463343,1.831,0.002698509,0.001404369,0.001148693,0.000145448
6500,55,24,6,2,1.758498462,0.626364809,1.7614,0.002771471,0.00139633,0.001159017,0.000216124
6500,55,21,7,2,1.538686154,0.548069208,1.5378,0.002853467,0.00145997,0.00115071,0.000242786
6500,55,24,8,2,1.758498462,0.626364809,1.7542,0.002616787,0.00126208,0.001162675,0.000192033
6500,55,27,9,2,1.978310769,0.704660411,1.9782,0.002706407,0.001395881,0.001154417,0.000156108
6500,55,30,10,2,2.198123077,0.782956012,2.1952,0.002758005,0.001428814,0.001162983,0.000166208
7500,55,26,2,2,1.997701333,0.731648736,1.9984,0.002346416,0.002277409,0.000030928,0.00003808
7500,55,21,3,2,1.613528,0.590947056,1.6094,0.003784222,0.002372109,0.001350245,0.000061867
7500,55,20,4,2,1.536693333,0.56280672,1.5382,0.002508631,0.00108712,0.00136834,0.000053172
7500,55,25,5,2,1.920866667,0.7035084,1.9214,0.003579993,0.002197838,0.001336544,0.000045611
7500,55,18,6,2,1.383024,0.506526048,1.3812,0.003476117,0.002073373,0.001348983,0.00005376
7500,55,21,7,2,1.613528,0.590947056,1.6128,0.003482013,0.002098052,0.001332399,0.000051563
7500,55,24,8,2,1.844032,0.675368064,1.844,0.003279527,0.001871309,0.001345504,0.000062714
7500,55,27,9,2,2.074536,0.759789072,2.0738,0.003367238,0.001968334,0.001332577,0.000066326
7500,55,30,10,2,2.30504,0.84421008,2.3032,0.003378664,0.001968096,0.001342987,0.00006758
8500,55,24,2,2,1.90944,0.713678844,1.91,0.001237858,0.000482808,0.000029575,0.000725476
8500,55,21,3,2,1.67076,0.624468988,1.6732,0.0035064,0.001730098,0.001255647,0.000520655
8500,55,20,4,2,1.5912,0.59473237,1.5938,0.002579468,0.000678848,0.001490905,0.000409715
8500,55,25,5,2,1.989,0.743415462,1.9912,0.003816144,0.001878721,0.00147686,0.000460563
8500,55,18,6,2,1.43208,0.535259133,1.4296,0.003743954,0.001776609,0.001508374,0.000458971
8500,55,21,7,2,1.67076,0.624468988,1.6712,0.003808436,0.001881533,0.001497185,0.000429718
8500,55,24,8,2,1.90944,0.713678844,1.9116,0.003555027,0.001641564,0.001510949,0.000402514
8500,55,27,9,2,2.14812,0.802888699,2.1508,0.003679457,0.001824793,0.001500606,0.000354058
8500,55,20,10,2,1.5912,0.59473237,1.589,0.003636845,0.001801102,0.001534325,0.000301418
9500,55,24,2,2,1.961077895,0.744430408,1.9632,0.000593721,0.000442861,0.000043785,0.000107075
9500,55,21,3,2,1.715943158,0.651376607,1.7168,0.003585712,0.001850812,0.001692716,0.000042184
9500,55,20,4,2,1.634231579,0.620358673,1.6332,0.002204479,0.000424204,0.0017239,0.000056376
9500,55,25,5,2,2.042789474,0.775448342,2.0444,0.003658123,0.00192967,0.001674249,0.000054204
9500,55,18,6,2,1.470808421,0.558322806,1.4726,0.00360607,0.001834883,0.001704978,0.00006621
9500,55,21,7,2,1.715943158,0.651376607,1.7138,0.003656626,0.001908199,0.001682081,0.000066347
9500,55,24,8,2,1.961077895,0.744430408,1.9612,0.003418025,0.001649279,0.001697542,0.000071204
9500,55,27,9,2,2.206212632,0.837484209,2.2034,0.003674016,0.001927278,0.001679177,0.000067561
9500,55,20,10,2,1.634231579,0.620358673,1.631,0.003741712,0.001954905,0.001730574,0.000056233
10500,55,24,2,2,2.00288,0.769648761,2.0026,0.001479827,0.001018386,0.000051415,0.000410026
10500,55,21,3,2,1.75252,0.673442666,1.7528,0.004664575,0.002494554,0.001728095,0.000441926
10500,55,20,4,2,1.669066667,0.641373968,1.669,0.003155202,0.00081161,0.001902385,0.000441207
10500,55,25,5,2,2.086333333,0.80171746,2.0848,0.004448856,0.002289747,0.00184758,0.000311529
