t 	 Ax 	 AxUn 	 Vx 	 Duration 	 DurationUn 	 Distance 	 vel_from_dist
27796	0.00	0.00	0.00	1017.00	1017.00	17.65	inf
77724	0.00	-0.00	-0.00	1018.00	1018.00	17.64	3.05
130764	0.01	0.00	-0.00	1017.00	1017.00	17.63	inf
182764	0.02	-0.00	-0.00	1018.00	1018.00	17.62	3.05
236844	0.02	0.00	-0.00	1017.00	1017.00	17.60	inf
288844	0.03	0.00	0.00	1018.00	1018.00	17.59	-1.74
341884	0.03	-0.00	-0.00	1018.00	1018.00	17.58	3.05
395964	0.04	-0.00	-0.00	1017.00	1017.00	17.57	3.48
450044	0.04	0.00	-0.00	1018.00	1018.00	17.56	inf
502044	0.05	0.00	-0.00	1017.00	1017.00	17.54	inf
554044	0.05	0.00	-0.00	1017.00	1017.00	17.54	nan
606044	0.05	0.00	-0.00	1018.00	1018.00	17.54	0.00
659084	0.05	0.00	-0.00	1018.00	1018.00	17.54	inf
711084	0.05	-0.01	-0.00	1018.00	1018.00	17.54	0.00
765164	0.05	0.00	-0.00	1017.00	1017.00	17.54	nan
817168	0.05	0.00	-0.00	1018.00	1018.00	17.54	0.00
870204	0.05	0.00	-0.00	1017.00	1017.00	17.54	inf
922204	0.05	0.00	-0.00	1017.00	1017.00	17.54	nan
974204	0.05	0.00	-0.00	1017.00	1017.00	17.54	-0.44
1028284	0.05	0.00	0.00	1018.00	1018.00	17.54	0.44
1081324	0.05	-0.00	-0.00	1018.00	1018.00	17.54	-0.43
1137484	0.05	-0.00	-0.00	994.00	994.00	17.50	10.45
1191564	0.05	-0.02	-0.00	1020.00	1020.00	17.51	-0.22
1247724	0.05	-0.00	-0.00	1023.00	1023.00	17.52	-2.18
1303884	0.06	0.11	0.01	1026.00	1026.00	17.53	0.14
1356924	0.04	-0.08	0.00	1029.00	1029.00	17.55	-0.24
1412044	0.05	0.03	0.00	1039.00	1039.00	17.59	1.20
1465084	0.05	-0.01	0.00	1044.00	1044.00	17.63	-3.92
1520204	0.04	-0.11	-0.00	1071.00	1071.00	17.73	-0.84
1576364	0.05	-0.04	-0.00	1107.00	1107.00	17.88	-3.52
1632524	0.05	0.00	-0.00	1134.00	1134.00	18.08	50.50
1687644	0.06	0.09	0.00	1140.00	1140.00	18.33	2.76
1740684	0.05	0.00	0.00	1146.00	1146.00	18.55	inf
1792684	0.07	0.17	0.01	1134.00	1134.00	18.74	1.10
1845724	0.07	0.17	0.03	1094.00	1094.00	18.86	0.69
1898764	0.05	0.02	0.03	1081.00	1081.00	18.95	5.66
1951804	0.07	0.23	0.04	994.00	994.00	18.87	-0.33
2003804	0.08	0.27	0.06	901.00	901.00	18.62	-0.90
2055804	0.06	0.11	0.07	797.00	797.00	18.15	-4.42
2107804	0.06	0.08	0.07	705.00	705.00	17.46	-8.33
2159804	0.04	-0.08	0.07	621.00	621.00	16.57	11.75
2212844	-0.01	-0.53	0.08	489.00	489.00	15.45	2.10
2265884	0.02	-0.30	0.07	465.00	465.00	14.28	3.95
2317884	0.07	0.27	0.09	468.00	468.00	13.13	-4.20
2369884	0.03	-0.15	0.09	435.00	435.00	11.99	7.55
2421884	0.04	-0.08	0.08	390.00	390.00	10.80	15.83
2474924	0.05	0.00	0.08	349.00	349.00	9.69	inf
2523804	0.04	-0.06	0.08	349.00	349.00	8.74	15.02
2575804	0.04	-0.02	0.08	373.00	373.00	8.01	36.92
2627804	0.05	0.01	0.08	373.00	373.00	7.43	-72.27
2679804	0.05	-0.00	0.08	367.00	367.00	7.00	110.58
2732844	0.05	-0.00	0.08	369.00	369.00	6.79	52.24
2784844	0.05	0.00	0.08	373.00	373.00	6.63	-40.05
2836844	0.05	-0.00	0.08	373.00	373.00	6.47	41.36
2888844	0.05	0.00	0.08	367.00	367.00	6.35	inf
2937724	0.05	0.00	0.08	367.00	367.00	6.31	inf
2986604	0.05	-0.00	0.08	373.00	373.00	6.35	-10.45
3039644	0.05	-0.00	0.08	373.00	373.00	6.39	-10.45
3092684	0.05	0.00	0.08	373.00	373.00	6.39	nan
3141564	0.05	-0.00	0.08	367.00	367.00	6.38	2.61
3192524	0.05	0.00	0.08	373.00	373.00	6.39	2.61
3242444	0.05	-0.00	0.08	373.00	373.00	6.40	-1.74
3294444	0.05	-0.00	0.08	349.00	349.00	6.36	10.45
3346448	0.05	0.00	0.08	343.00	343.00	6.31	inf
3395324	0.05	0.00	0.08	349.00	349.00	6.28	inf
3444204	0.05	-0.00	0.08	349.00	349.00	6.24	7.84
3495164	0.04	-0.01	0.08	352.00	352.00	6.21	3.05
3546128	0.04	-0.08	0.07	409.00	409.00	6.27	-0.75
3598124	0.01	-0.34	0.07	462.00	462.00	6.42	-0.45
3650124	0.03	-0.19	0.07	591.00	591.00	6.81	-1.99
3702124	-0.03	-0.74	0.09	759.00	759.00	7.48	-0.89
3755164	0.09	0.42	0.12	955.00	955.00	8.48	2.41
3805084	-0.06	-1.07	0.19	1038.00	1038.00	9.67	-1.11
3860204	0.09	0.45	0.23	1071.00	1071.00	10.92	2.78
3913244	0.05	0.03	0.23	1079.00	1079.00	12.18	39.73
3967324	0.05	0.03	0.23	1082.00	1082.00	13.44	45.59
4021404	0.05	-0.02	0.23	1079.00	1079.00	14.70	-79.12
4077564	0.05	0.00	0.23	1088.00	1088.00	15.87	295.60
4132684	0.05	0.00	0.23	1089.00	1089.00	16.95	272.96
4187804	0.05	0.00	0.23	1088.00	1088.00	17.81	inf
4239804	0.05	0.00	0.23	1091.00	1091.00	18.38	inf
4291804	0.05	0.03	0.23	1094.00	1094.00	18.62	8.64
4344848	0.05	0.00	0.23	1095.00	1095.00	18.72	24.81
4398924	0.05	-0.01	0.23	1098.00	1098.00	18.76	-5.88
4454044	0.05	0.00	0.23	1097.00	1097.00	18.79	7.84
4507084	0.05	0.00	0.23	1097.00	1097.00	18.82	inf
4559084	0.05	0.00	0.23	1097.00	1097.00	18.85	7.84
4612128	0.05	0.00	0.23	1098.00	1098.00	18.87	4.35
4665164	0.05	0.00	0.23	1098.00	1098.00	18.88	inf
4717164	0.05	0.00	0.23	1098.00	1098.00	18.90	4.35
4770204	0.05	0.01	0.24	1097.00	1097.00	18.91	1.31
4823244	0.05	0.00	0.24	1097.00	1097.00	18.92	inf
4875244	0.05	0.01	0.24	1097.00	1097.00	18.92	0.44
4928284	0.05	0.00	0.24	1097.00	1097.00	18.92	-0.44
4982364	0.05	0.00	0.24	1097.00	1097.00	18.92	nan
5034364	0.05	0.01	0.24	1121.00	1121.00	18.96	5.22
5087404	0.05	0.00	0.24	1091.00	1091.00	18.95	inf
5139404	0.05	0.00	0.24	1097.00	1097.00	18.95	inf
5191404	0.05	0.00	0.24	1098.00	1098.00	18.95	0.00
5244444	0.05	0.00	0.24	1097.00	1097.00	18.95	inf
5296444	0.05	0.00	0.24	1097.00	1097.00	18.95	nan
5348444	0.05	-0.00	0.24	1092.00	1092.00	18.94	2.18
5402524	0.05	0.00	0.24	1098.00	1098.00	18.94	inf
5454524	0.05	0.00	0.24	1097.00	1097.00	18.94	0.00
5507564	0.05	0.00	0.24	1095.00	1095.00	18.94	inf
5559564	0.05	0.01	0.24	1119.00	1119.00	18.93	-0.29
5613644	0.05	0.02	0.24	1086.00	1086.00	18.92	-0.54
5667724	0.05	0.02	0.24	1104.00	1104.00	18.94	0.76
5720764	0.05	0.04	0.24	1064.00	1064.00	18.88	-1.35
5774844	0.05	0.04	0.24	1071.00	1071.00	18.83	-1.26
5828924	0.05	-0.01	0.24	1053.00	1053.00	18.76	9.58
5883004	0.05	-0.02	0.24	1015.00	1015.00	18.62	5.59
5937084	0.05	0.03	0.24	1023.00	1023.00	18.49	-4.08
